case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,70,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,108,43689835,
c01-small-normal0,small,normal,0,new,110,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,25,43689835,same
c01-small-normal0,small,normal,1,old,95,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,1,new,83,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,2,old,75,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,2,new,50,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,25,43689835,
c01-small-normal0,small,normal,3,old,58,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,25,43689835,
c01-small-normal0,small,normal,3,new,32,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,4,old,34,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,4,new,39,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c02-small-normal1,small,normal,0,old,68,0,0,0,0,1,8000.0,63.0,1.0000,2,52,8063.0,55,-146857566,
c02-small-normal1,small,normal,0,new,49,0,0,0,0,1,8000.0,63.0,1.0000,2,52,8063.0,23,-146857566,same
c02-small-normal1,small,normal,1,old,46,0,0,0,0,1,8000.0,63.0,1.0000,2,52,8063.0,25,-146857566,
c02-small-normal1,small,normal,1,new,35,0,0,0,0,1,8000.0,63.0,1.0000,2,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,2,old,33,0,0,0,0,1,8000.0,63.0,1.0000,2,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,2,new,42,0,0,0,0,1,8000.0,63.0,1.0000,2,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,3,old,64,0,0,0,0,1,8000.0,63.0,1.0000,2,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,3,new,49,0,0,0,0,1,8000.0,63.0,1.0000,2,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,4,old,51,0,0,0,0,1,8000.0,63.0,1.0000,2,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,4,new,76,0,0,0,0,1,8000.0,63.0,1.0000,2,52,8063.0,23,-146857566,
c03-small-dense0,small,dense,0,old,3793,0,0,0,0,9,72000.0,2563.0,1.0000,43,133,74563.0,541,1890849398,
c03-small-dense0,small,dense,0,new,2669,0,0,0,0,9,72000.0,2563.0,1.0000,43,133,74563.0,590,1890849398,same
c03-small-dense0,small,dense,1,old,4052,0,0,0,0,10,80000.0,2177.0,1.0000,41,129,82177.0,638,874463462,
c03-small-dense0,small,dense,1,new,2922,0,0,0,0,10,80000.0,2177.0,1.0000,41,129,82177.0,496,874463462,
c03-small-dense0,small,dense,2,old,3556,0,0,0,0,9,72000.0,2463.0,1.0000,41,122,74463.0,515,231801860,
c03-small-dense0,small,dense,2,new,2715,0,0,0,0,9,72000.0,2463.0,1.0000,41,122,74463.0,434,231801860,
c03-small-dense0,small,dense,3,old,2606,0,0,0,0,8,64000.0,2868.0,1.0000,30,145,66868.0,416,2146446876,
c03-small-dense0,small,dense,3,new,2852,0,0,0,0,8,64000.0,2868.0,1.0000,30,145,66868.0,618,2146446876,
c03-small-dense0,small,dense,4,old,1972,0,0,0,0,9,72000.0,2561.0,1.0000,37,131,74561.0,432,-1728883548,
c03-small-dense0,small,dense,4,new,1965,0,0,0,0,9,72000.0,2561.0,1.0000,37,131,74561.0,376,-1728883548,
c04-small-dense1,small,dense,0,old,2145,0,0,0,0,5,39000.0,3529.0,1.0000,32,158,42529.0,462,280729472,
c04-small-dense1,small,dense,0,new,2095,0,0,0,0,5,39000.0,3529.0,1.0000,32,158,42529.0,474,280729472,same
c04-small-dense1,small,dense,1,old,2728,0,0,0,0,7,56000.0,2905.0,1.0000,38,152,58905.0,454,1124207010,
c04-small-dense1,small,dense,1,new,3348,0,0,0,0,7,56000.0,2905.0,1.0000,38,152,58905.0,611,1124207010,
c04-small-dense1,small,dense,2,old,2143,0,0,0,0,5,39000.0,3530.0,1.0000,29,159,42530.0,571,423893824,
c04-small-dense1,small,dense,2,new,3470,0,0,0,0,5,39000.0,3530.0,1.0000,29,159,42530.0,552,423893824,
c04-small-dense1,small,dense,3,old,2499,0,0,0,0,5,39000.0,3529.0,1.0000,32,158,42529.0,426,280729472,
c04-small-dense1,small,dense,3,new,2882,0,0,0,0,5,39000.0,3529.0,1.0000,32,158,42529.0,387,280729472,
c04-small-dense1,small,dense,4,old,2572,0,0,0,0,5,40000.0,3347.0,1.0000,32,152,43347.0,400,280726589,
c04-small-dense1,small,dense,4,new,2665,0,0,0,0,5,40000.0,3347.0,1.0000,32,152,43347.0,485,280726589,
c05-small-infeasible0,small,infeasible,0,old,492,0,0,0,0,21,168000.0,84.0,1.0000,32,101,168084.0,169,-318231641,
c05-small-infeasible0,small,infeasible,0,new,725,0,0,0,0,21,168000.0,84.0,1.0000,32,101,168084.0,25,-318231641,same
c05-small-infeasible0,small,infeasible,1,old,265,0,0,0,0,20,160000.0,81.0,1.0000,24,101,160081.0,31,1621995802,
c05-small-infeasible0,small,infeasible,1,new,96,0,0,0,0,20,160000.0,81.0,1.0000,24,101,160081.0,31,1621995802,
c05-small-infeasible0,small,infeasible,2,old,168,0,0,0,0,19,152000.0,82.0,1.0000,22,101,152082.0,23,2034564145,
c05-small-infeasible0,small,infeasible,2,new,109,0,0,0,0,19,152000.0,82.0,1.0000,22,101,152082.0,23,2034564145,
c05-small-infeasible0,small,infeasible,3,old,49,0,0,0,0,19,152000.0,83.0,1.0000,26,102,152083.0,23,468964429,
c05-small-infeasible0,small,infeasible,3,new,94,0,0,0,0,19,152000.0,83.0,1.0000,26,102,152083.0,23,468964429,
c05-small-infeasible0,small,infeasible,4,old,141,0,0,0,0,19,152000.0,82.0,1.0000,22,101,152082.0,23,984896531,
c05-small-infeasible0,small,infeasible,4,new,132,0,0,0,0,19,152000.0,82.0,1.0000,22,101,152082.0,25,984896531,
c06-small-infeasible1,small,infeasible,0,old,206,0,0,0,0,19,152000.0,75.0,1.0000,35,94,152075.0,75,1869420945,
c06-small-infeasible1,small,infeasible,0,new,427,0,0,0,0,19,152000.0,75.0,1.0000,35,94,152075.0,75,1869420945,same
c06-small-infeasible1,small,infeasible,1,old,187,0,0,0,0,20,160000.0,74.0,1.0000,19,94,160074.0,61,1410857806,
c06-small-infeasible1,small,infeasible,1,new,205,0,0,0,0,20,160000.0,74.0,1.0000,19,94,160074.0,29,1410857806,
