case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,113,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,132,43689835,
c01-small-normal0,small,normal,0,new,95,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,25,43689835,same
c01-small-normal0,small,normal,1,old,72,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,1,new,75,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,2,old,61,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,2,new,57,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,3,old,57,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,3,new,52,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,4,old,53,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,4,new,53,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c02-small-normal1,small,normal,0,old,206,0,0,0,0,1,8000.0,71.0,1.0000,13,60,8071.0,51,-2122804442,
c02-small-normal1,small,normal,0,new,165,0,0,0,0,1,8000.0,71.0,1.0000,13,60,8071.0,27,-2122804442,same
c02-small-normal1,small,normal,1,old,117,0,0,0,0,1,8000.0,67.0,1.0000,5,56,8067.0,31,-1178203926,
c02-small-normal1,small,normal,1,new,117,0,0,0,0,1,8000.0,67.0,1.0000,5,56,8067.0,23,-1178203926,
c02-small-normal1,small,normal,2,old,108,0,0,0,0,1,8000.0,67.0,1.0000,7,56,8067.0,27,-58193690,
c02-small-normal1,small,normal,2,new,112,0,0,0,0,1,8000.0,67.0,1.0000,7,56,8067.0,23,-58193690,
c02-small-normal1,small,normal,3,old,132,0,0,0,0,1,8000.0,71.0,1.0000,18,60,8071.0,23,-1279566327,
c02-small-normal1,small,normal,3,new,153,0,0,0,0,1,8000.0,71.0,1.0000,18,60,8071.0,37,-1279566327,
c02-small-normal1,small,normal,4,old,157,0,0,0,0,1,8000.0,70.0,1.0000,10,59,8070.0,37,392117043,
c02-small-normal1,small,normal,4,new,243,0,0,0,0,1,8000.0,70.0,1.0000,10,59,8070.0,23,392117043,
c03-small-dense0,small,dense,0,old,4295,0,0,0,0,9,72000.0,2563.0,1.0000,43,133,74563.0,491,1890849398,
c03-small-dense0,small,dense,0,new,3484,0,0,0,0,9,72000.0,2563.0,1.0000,43,133,74563.0,487,1890849398,same
c03-small-dense0,small,dense,1,old,4043,0,0,0,0,10,80000.0,2177.0,1.0000,41,129,82177.0,589,874463462,
c03-small-dense0,small,dense,1,new,4757,0,0,0,0,10,80000.0,2177.0,1.0000,41,129,82177.0,602,874463462,
c03-small-dense0,small,dense,2,old,4007,0,0,0,0,9,72000.0,2463.0,1.0000,41,122,74463.0,402,231801860,
