case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c13-small-c42pair0,small,c42pair,0,new,147,0,0,0,0,0,0.0,137.0,0.9167,0,69,137.0,78,1986584970,same
c13-small-c42pair0,small,c42pair,1,old,143,0,0,0,0,0,0.0,137.0,0.9167,0,69,137.0,80,1986584970,
c13-small-c42pair0,small,c42pair,1,new,138,0,0,0,0,0,0.0,137.0,0.9167,0,69,137.0,78,1986584970,
c14-small-c42pair1,small,c42pair,0,old,83,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,134,1979022278,
c14-small-c42pair1,small,c42pair,0,new,86,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,28,1979022278,same
c14-small-c42pair1,small,c42pair,1,old,115,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,32,1979022278,
c14-small-c42pair1,small,c42pair,1,new,147,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,26,1979022278,
c15-medium-normal0,medium,normal,0,old,2259,0,0,0,0,0,0.0,349.0,1.0000,27,153,349.0,80,-1277468171,
c15-medium-normal0,medium,normal,0,new,1317,0,0,0,0,0,0.0,349.0,1.0000,27,153,349.0,95,-1277468171,same
c15-medium-normal0,medium,normal,1,old,438,0,0,0,0,0,0.0,357.0,1.0000,25,157,357.0,83,-1142813325,
c15-medium-normal0,medium,normal,1,new,481,0,0,0,0,0,0.0,357.0,1.0000,25,157,357.0,81,-1142813325,
c16-medium-normal1,medium,normal,0,old,1028,0,0,0,0,0,0.0,342.0,0.9762,16,148,342.0,97,1246887793,
c16-medium-normal1,medium,normal,0,new,1015,0,0,0,0,0,0.0,342.0,0.9762,16,148,342.0,95,1246887793,same
c16-medium-normal1,medium,normal,1,old,1043,0,0,0,0,0,0.0,342.0,0.9762,16,148,342.0,97,1246887793,
c16-medium-normal1,medium,normal,1,new,1057,0,0,0,0,0,0.0,342.0,0.9762,16,148,342.0,95,1246887793,
c17-medium-dense0,medium,dense,0,old,17529,0,0,0,0,2,20000.0,6881.0,0.9268,160,309,26881.0,1248,1254492396,
c17-medium-dense0,medium,dense,0,new,16741,0,0,0,0,2,20000.0,6881.0,0.9268,160,309,26881.0,1313,1254492396,same
c17-medium-dense0,medium,dense,1,old,13014,0,0,0,0,2,20000.0,6832.0,0.9268,179,308,26832.0,1233,-1335803028,
c17-medium-dense0,medium,dense,1,new,14077,0,0,0,0,2,20000.0,6832.0,0.9268,179,308,26832.0,1295,-1335803028,
c18-medium-dense1,medium,dense,0,old,14721,0,0,0,0,3,30000.0,8029.0,0.9388,188,340,38029.0,1366,250847778,
c18-medium-dense1,medium,dense,0,new,14811,0,0,0,0,3,30000.0,8029.0,0.9388,188,340,38029.0,1402,250847778,same
c18-medium-dense1,medium,dense,1,old,14419,0,0,0,0,3,30000.0,7740.0,0.9388,183,342,37740.0,1504,-430738959,
c18-medium-dense1,medium,dense,1,new,15120,0,0,0,0,3,30000.0,7767.0,0.9388,191,327,37767.0,1280,-519168565,
c19-medium-infeasible0,medium,infeasible,0,old,3145,0,0,0,0,71,710000.0,304.0,0.9444,183,228,710304.0,98,1378299495,
c19-medium-infeasible0,medium,infeasible,0,new,2614,0,0,0,0,72,720000.0,350.0,0.9444,181,252,720350.0,96,1113159196,same
c19-medium-infeasible0,medium,infeasible,1,old,2817,0,0,0,0,71,710000.0,343.0,0.9444,194,248,710343.0,118,2094336248,
c19-medium-infeasible0,medium,infeasible,1,new,2804,0,0,0,0,72,719000.0,432.0,0.9444,179,247,719432.0,96,-1496810564,
c20-medium-infeasible1,medium,infeasible,0,old,3518,0,0,0,0,70,700000.0,361.0,0.9286,171,259,700361.0,98,-6011123,
c20-medium-infeasible1,medium,infeasible,0,new,2649,0,0,0,0,70,700000.0,325.0,0.9286,166,240,700325.0,96,664534123,same
c20-medium-infeasible1,medium,infeasible,1,old,2803,0,0,0,0,70,700000.0,380.0,0.9286,169,267,700380.0,116,1328417273,
c20-medium-infeasible1,medium,infeasible,1,new,3467,0,0,0,0,71,709000.0,371.0,0.9286,184,262,709371.0,134,-1785145965,
c21-medium-wishheavy0,medium,wishheavy,0,old,1125,0,0,0,0,20,198000.0,965.0,0.9650,32,278,198965.0,177,2038659139,
c21-medium-wishheavy0,medium,wishheavy,0,new,1153,0,0,0,0,20,198000.0,965.0,0.9650,35,278,198965.0,147,226229124,same
c21-medium-wishheavy0,medium,wishheavy,1,old,931,0,0,0,0,20,198000.0,964.0,0.9650,33,279,198964.0,157,1092961053,
c21-medium-wishheavy0,medium,wishheavy,1,new,986,0,0,0,0,20,198000.0,964.0,0.9650,33,279,198964.0,231,1092961053,
c22-medium-wishheavy1,medium,wishheavy,0,old,604,0,0,0,0,28,278000.0,1090.0,0.9502,13,301,279090.0,160,-171884171,
c22-medium-wishheavy1,medium,wishheavy,0,new,614,0,0,0,0,28,278000.0,1090.0,0.9502,13,301,279090.0,81,-171884171,same
c22-medium-wishheavy1,medium,wishheavy,1,old,603,0,0,0,0,28,278000.0,1090.0,0.9502,13,301,279090.0,95,-171884171,
c22-medium-wishheavy1,medium,wishheavy,1,new,581,0,0,0,0,28,278000.0,1090.0,0.9502,13,301,279090.0,95,-171884171,
c23-medium-forbidden0,medium,forbidden,0,old,999,0,0,0,0,0,0.0,348.0,1.0000,14,151,348.0,81,638492289,
c23-medium-forbidden0,medium,forbidden,0,new,1044,0,0,0,0,0,0.0,348.0,1.0000,14,151,348.0,97,638492289,same
c23-medium-forbidden0,medium,forbidden,1,old,971,0,0,0,0,0,0.0,348.0,1.0000,14,151,348.0,79,638492289,
c23-medium-forbidden0,medium,forbidden,1,new,1030,0,0,0,0,0,0.0,348.0,1.0000,14,151,348.0,95,638492289,
c24-medium-forbidden1,medium,forbidden,0,old,2446,0,0,0,0,1,9000.0,353.0,0.9722,36,155,9353.0,95,1532679713,
c24-medium-forbidden1,medium,forbidden,0,new,2407,0,0,0,0,1,9000.0,353.0,0.9722,36,155,9353.0,101,1532679713,same
c24-medium-forbidden1,medium,forbidden,1,old,1303,0,0,0,0,1,9000.0,366.0,0.9722,24,161,9366.0,79,1694763107,
c24-medium-forbidden1,medium,forbidden,1,new,1305,0,0,0,0,1,9000.0,366.0,0.9722,24,161,9366.0,95,1694763107,
c25-medium-c2deficit0,medium,c2deficit,0,old,811,0,0,0,0,0,0.0,436.0,0.9762,16,178,436.0,99,1757400159,
c25-medium-c2deficit0,medium,c2deficit,0,new,853,0,0,0,0,0,0.0,436.0,0.9762,16,178,436.0,97,1757400159,same
c25-medium-c2deficit0,medium,c2deficit,1,old,1258,0,0,0,0,0,0.0,436.0,0.9762,16,178,436.0,95,1757400159,
c25-medium-c2deficit0,medium,c2deficit,1,new,1252,0,0,0,0,0,0.0,436.0,0.9762,16,178,436.0,116,1757400159,
c26-medium-c2deficit1,medium,c2deficit,0,old,958,0,0,0,0,0,0.0,405.0,0.9048,24,169,405.0,108,-2130163563,
c26-medium-c2deficit1,medium,c2deficit,0,new,908,0,0,0,0,0,0.0,405.0,0.9048,24,169,405.0,97,-2130163563,same
c26-medium-c2deficit1,medium,c2deficit,1,old,915,0,0,0,0,0,0.0,405.0,0.9048,24,169,405.0,95,-2130163563,
c26-medium-c2deficit1,medium,c2deficit,1,new,963,0,0,0,0,0,0.0,405.0,0.9048,24,169,405.0,95,-2130163563,
c27-medium-c42pair0,medium,c42pair,0,old,615,0,0,0,0,0,0.0,444.0,0.9767,36,240,444.0,96,-455978035,
c27-medium-c42pair0,medium,c42pair,0,new,656,0,0,0,0,0,0.0,444.0,0.9767,36,240,444.0,125,-455978035,same
c27-medium-c42pair0,medium,c42pair,1,old,1693,0,0,0,0,0,0.0,441.0,0.9767,45,240,441.0,138,1090162351,
c27-medium-c42pair0,medium,c42pair,1,new,1717,0,0,0,0,0,0.0,441.0,0.9767,45,240,441.0,134,1090162351,
c28-medium-c42pair1,medium,c42pair,0,old,1962,0,0,0,0,0,0.0,425.0,0.9556,28,238,425.0,116,-325438529,
c28-medium-c42pair1,medium,c42pair,0,new,1853,0,0,0,0,0,0.0,425.0,0.9556,28,238,425.0,158,-325438529,same
