fixture,staff,day,reason,hardB,hardG0,fixed,hardFix,msFix,hardFixKept,hardOpt,msOpt,hardPost,msPost,hardVcr,hardVcrKept,msVcr,hardVcrW,hardVcrWKept,msVcrW,hardG,msG
c31-large-dense0,4,16,人手不足の日に別の勤務の希望,1,1,1,1,440,1,-1,0,-1,0,1,1,2,1,1,2,0,25149
c31-large-dense0,7,16,人手不足の日に別の勤務の希望,1,1,1,1,437,1,-1,0,-1,0,1,1,2,1,1,2,0,25145
c35-large-wishheavy0,0,20,人手不足の日に別の勤務の希望,33,33,33,33,3001,33,-1,0,-1,0,33,33,69,33,33,142,33,21886
c35-large-wishheavy0,1,20,人手不足の日に別の勤務の希望,33,33,33,32,3001,33,-1,0,-1,0,32,33,66,32,33,122,32,25262
c35-large-wishheavy0,2,20,人手不足の日に別の勤務の希望,33,33,33,33,3001,33,-1,0,-1,0,33,33,66,33,33,138,33,23173
c35-large-wishheavy0,3,20,人手不足の日に別の勤務の希望,33,33,33,32,3002,33,-1,0,-1,0,32,33,46,32,33,131,32,23322
c36-large-wishheavy1,0,5,人手不足の日に別の勤務の希望,39,39,39,38,3001,39,-1,0,-1,0,38,39,65,38,39,71,38,26375
c36-large-wishheavy1,3,5,人手不足の日に別の勤務の希望,39,39,39,38,3001,39,-1,0,-1,0,38,39,59,38,39,98,38,24854
c36-large-wishheavy1,5,5,人手不足の日に別の勤務の希望,39,39,39,38,3001,39,-1,0,-1,0,38,39,71,38,39,71,38,26385
c36-large-wishheavy1,6,5,人手不足の日に別の勤務の希望,39,39,39,39,3001,39,-1,0,-1,0,38,39,58,38,39,77,38,25817
